????+????,
??????,????????/GPa
3.46461,0.0022
3.46833,0.0022
3.47175,0.0022
3.47543,0.00221
3.47907,0.00221
3.48294,0.00222
3.4864,0.00222
3.4903,0.00222
3.49381,0.00222
3.49766,0.00222
3.50119,0.00222
