*DEFINE_TABLE
$#Lode Parameter vs. load curves
$     TBID
               0.394            4.22e-01
               0.421            4.17e-01
               0.449            4.13e-01
               0.476            4.09e-01
               0.503            4.05e-01
               0.530            4.01e-01
               0.557            3.98e-01
               0.584            3.94e-01
               0.612            3.90e-01
               0.639            3.87e-01
               0.666            3.84e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        14         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.76e-01
              -0.639            7.56e-01
              -0.612            7.38e-01
              -0.584            7.20e-01
              -0.557            7.04e-01
              -0.530            6.89e-01
              -0.503            6.74e-01
              -0.476            6.60e-01
              -0.449            6.47e-01
              -0.421            6.35e-01
              -0.394            6.23e-01
              -0.367            6.11e-01
              -0.340            6.01e-01
              -0.313            5.90e-01
              -0.285            5.80e-01
              -0.258            5.71e-01
              -0.231            5.62e-01
              -0.204            5.53e-01
              -0.177            5.44e-01
              -0.150            5.36e-01
              -0.122            5.29e-01
              -0.095            5.21e-01
              -0.068            5.14e-01
              -0.041            5.07e-01
              -0.014            5.00e-01
               0.014            4.94e-01
               0.041            4.87e-01
               0.068            4.81e-01
               0.095            4.75e-01
               0.122            4.69e-01
               0.150            4.64e-01
               0.177            4.59e-01
               0.204            4.53e-01
               0.231            4.48e-01
               0.258            4.43e-01
               0.285            4.38e-01
               0.313            4.34e-01
               0.340            4.29e-01
               0.367            4.25e-01
               0.394            4.20e-01
               0.421            4.16e-01
               0.449            4.12e-01
               0.476            4.08e-01
               0.503            4.04e-01
               0.530            4.00e-01
               0.557            3.97e-01
               0.584            3.93e-01
               0.612            3.89e-01
               0.639            3.86e-01
               0.666            3.83e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        15         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.70e-01
              -0.639            7.51e-01
              -0.612            7.33e-01
              -0.584            7.16e-01
              -0.557            7.00e-01
              -0.530            6.84e-01
              -0.503            6.70e-01
              -0.476            6.56e-01
              -0.449            6.43e-01
              -0.421            6.31e-01
              -0.394            6.19e-01
              -0.367            6.08e-01
              -0.340            5.98e-01
              -0.313            5.87e-01
              -0.285            5.77e-01
              -0.258            5.68e-01
              -0.231            5.59e-01
              -0.204            5.50e-01
              -0.177            5.42e-01
              -0.150            5.34e-01
              -0.122            5.26e-01
              -0.095            5.19e-01
              -0.068            5.12e-01
              -0.041            5.05e-01
              -0.014            4.98e-01
               0.014            4.92e-01
               0.041            4.85e-01
               0.068            4.79e-01
               0.095            4.74e-01
               0.122            4.68e-01
               0.150            4.62e-01
               0.177            4.57e-01
               0.204            4.52e-01
               0.231            4.47e-01
               0.258            4.42e-01
               0.285            4.37e-01
               0.313            4.32e-01
               0.340            4.28e-01
               0.367            4.23e-01
               0.394            4.19e-01
               0.421            4.15e-01
               0.449            4.11e-01
               0.476            4.07e-01
               0.503            4.03e-01
               0.530            3.99e-01
               0.557            3.96e-01
               0.584            3.92e-01
               0.612            3.88e-01
               0.639            3.85e-01
               0.666            3.82e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        16         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.65e-01
              -0.639            7.46e-01
              -0.612            7.28e-01
              -0.584            7.11e-01
              -0.557            6.95e-01
              -0.530            6.80e-01
              -0.503            6.66e-01
              -0.476            6.53e-01
              -0.449            6.40e-01
              -0.421            6.28e-01
              -0.394            6.16e-01
              -0.367            6.05e-01
              -0.340            5.95e-01
              -0.313            5.85e-01
              -0.285            5.75e-01
              -0.258            5.66e-01
              -0.231            5.57e-01
              -0.204            5.48e-01
              -0.177            5.40e-01
              -0.150            5.32e-01
              -0.122            5.24e-01
              -0.095            5.17e-01
              -0.068            5.10e-01
              -0.041            5.03e-01
              -0.014            4.96e-01
               0.014            4.90e-01
               0.041            4.84e-01
               0.068            4.78e-01
               0.095            4.72e-01
               0.122            4.66e-01
               0.150            4.61e-01
               0.177            4.56e-01
               0.204            4.50e-01
               0.231            4.45e-01
               0.258            4.40e-01
               0.285            4.36e-01
               0.313            4.31e-01
               0.340            4.27e-01
               0.367            4.22e-01
               0.394            4.18e-01
               0.421            4.14e-01
               0.449            4.10e-01
               0.476            4.06e-01
               0.503            4.02e-01
               0.530            3.98e-01
               0.557            3.95e-01
               0.584            3.91e-01
               0.612            3.87e-01
               0.639            3.84e-01
               0.666            3.81e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        17         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.59e-01
              -0.639            7.41e-01
              -0.612            7.23e-01
              -0.584            7.07e-01
              -0.557            6.91e-01
              -0.530            6.76e-01
              -0.503            6.62e-01
              -0.476            6.49e-01
              -0.449            6.37e-01
              -0.421            6.25e-01
              -0.394            6.13e-01
              -0.367            6.02e-01
              -0.340            5.92e-01
              -0.313            5.82e-01
              -0.285            5.72e-01
              -0.258            5.63e-01
              -0.231            5.54e-01
              -0.204            5.46e-01
              -0.177            5.38e-01
              -0.150            5.30e-01
              -0.122            5.22e-01
              -0.095            5.15e-01
              -0.068            5.08e-01
              -0.041            5.01e-01
              -0.014            4.95e-01
               0.014            4.88e-01
               0.041            4.82e-01
               0.068            4.76e-01
               0.095            4.70e-01
               0.122            4.65e-01
               0.150            4.59e-01
               0.177            4.54e-01
               0.204            4.49e-01
               0.231            4.44e-01
               0.258            4.39e-01
               0.285            4.34e-01
               0.313            4.30e-01
               0.340            4.25e-01
               0.367            4.21e-01
               0.394            4.17e-01
               0.421            4.13e-01
               0.449            4.09e-01
               0.476            4.05e-01
               0.503            4.01e-01
               0.530            3.97e-01
               0.557            3.94e-01
               0.584            3.90e-01
               0.612            3.87e-01
               0.639            3.83e-01
               0.666            3.80e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        18         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.55e-01
              -0.639            7.36e-01
              -0.612            7.19e-01
              -0.584            7.03e-01
              -0.557            6.87e-01
              -0.530            6.73e-01
              -0.503            6.59e-01
              -0.476            6.46e-01
              -0.449            6.34e-01
              -0.421            6.22e-01
              -0.394            6.10e-01
              -0.367            6.00e-01
              -0.340            5.89e-01
              -0.313            5.79e-01
              -0.285            5.70e-01
              -0.258            5.61e-01
              -0.231            5.52e-01
              -0.204            5.44e-01
              -0.177            5.36e-01
              -0.150            5.28e-01
              -0.122            5.20e-01
              -0.095            5.13e-01
              -0.068            5.06e-01
              -0.041            5.00e-01
              -0.014            4.93e-01
               0.014            4.87e-01
               0.041            4.81e-01
               0.068            4.75e-01
               0.095            4.69e-01
               0.122            4.63e-01
               0.150            4.58e-01
               0.177            4.53e-01
               0.204            4.48e-01
               0.231            4.43e-01
               0.258            4.38e-01
               0.285            4.33e-01
               0.313            4.29e-01
               0.340            4.24e-01
               0.367            4.20e-01
               0.394            4.16e-01
               0.421            4.12e-01
               0.449            4.08e-01
               0.476            4.04e-01
               0.503            4.00e-01
               0.530            3.96e-01
               0.557            3.93e-01
               0.584            3.89e-01
               0.612            3.86e-01
               0.639            3.82e-01
               0.666            3.79e-01
*DEFINE_CURVE
$#Triaxiality vs. Failure Plastic Strain
$     LCID      SIDR      SCLA      SCLO      OFFA      OFFO    DATTYP          
        19         0      1.00      1.00      0.00      0.00         0         0
$                 A1                  O1
              -0.666            7.50e-01
              -0.639            7.32e-01
              -0.612            7.15e-01
              -0.584            6.99e-01
              -0.557            6.84e-01
              -0.530            6.69e-01
              -0.503            6.56e-01
              -0.476            6.43e-01
              -0.449            6.31e-01
              -0.421            6.19e-01
              -0.394            6.08e-01
              -0.367            5.97e-01
              -0.340            5.87e-01
              -0.313            5.77e-01
